x2,y2,r_mag,ax2,ay2
233590038.13289142,306456350.4510601,384399999.996738,-0.001609702510545874,-0.0021645271740449445
229977385.6102975,310916171.15028,384399999.9966569,-0.001596049469624189,-0.002174614017810439
230817457.86734033,310144512.5126076,384399999.9966261,-0.0015823332336470097,-0.002184614759256298
228601466.0307024,315746451.1544388,384399999.99652326,-0.0015685543358232579,-0.002194528987969402
226721001.80116296,313668152.4885384,384399999.99636185,-0.0015547133108940459,-0.0022043562951748197
224083080.3642959,316675738.3091879,384399999.99622744,-0.0015408107121150372,-0.0022140962992044932
220140724.13710225,320771865.681637,384399999.99612594,-0.0015268470992318428,-0.0022237486282021546
215289767.36025265,318056200.0355607,384399999.99607414,-0.0015128230316467373,-0.002233312909900212
213235276.95726392,321747515.1809469,384399999.99600714,-0.0014987390590129879,-0.002242788756874295
212328551.01789865,322396337.2418215,384399999.9958281,-0.0014845957259467524,-0.0022521757731031877
214308694.29777354,326011914.952651,384399999.99566644,-0.0014703935926639045,-0.0022614735868330266
212181968.6215928,323841835.0368036,384399999.99553937,-0.001456133230948814,-0.0022706818449980404
207205301.2713438,330290391.1523739,384399999.9954573,-0.0014418152129641315,-0.0022798001951926383
206924012.19593823,326082321.401882,384399999.99542546,-0.0014274401063840148,-0.0022888282777724644
207139300.61577827,331876578.8079697,384399999.9952546,-0.0014130084676794996,-0.002297765713539887
198518252.1683011,325843950.3451181,384399999.995061,-0.0013985208612513067,-0.002306612136110761
201246767.1314697,329491357.0356478,384399999.9949032,-0.001383977868621239,-0.0023153672086303617
196523755.54809442,328797888.49136066,384399999.9947855,-0.0013693800738311113,-0.0023240305987423937
195249592.4592336,326222171.243941,384399999.99472994,-0.0013547280603490308,-0.0023326019732387987
193087170.45264623,336925513.09454125,384399999.99463797,-0.001340022401425639,-0.002341080980210297
193054306.9501465,333473150.1677243,384399999.9944215,-0.0013252636668887596,-0.002349467260536059
189915891.11850384,333580906.9562968,384399999.994227,-0.001310452442314397,-0.0023577604839064986
186434540.199502,331540126.7464125,384399999.9940725,-0.001295589322973023,-0.00236596033852407
184654448.28648588,336269333.22741055,384399999.99396855,-0.0012806749043202115,-0.0023740665129717148
182481597.7072721,342084016.04230154,384399999.9939344,-0.0012657097788547345,-0.0023820786903647334
180462574.176923,340434897.7115532,384399999.993756,-0.0012506945277595272,-0.002389996530558186
180175895.44705853,345756825.8874803,384399999.99352485,-0.0012356297370341718,-0.0023978197021615327
176212660.73778564,342876379.8327137,384399999.99333155,-0.0012205160093709533,-0.002405547907789435
173252551.99830222,344969473.1087639,384399999.9931815,-0.0012053539509967182,-0.002413180857556832
174081189.52890867,350945243.8545177,384399999.99309427,-0.001190144168114693,-0.0024207182616247797
170646552.89721975,345203663.3217868,384399999.9930399,-0.0011748872606384408,-0.002428159816765113
166704047.68610865,350403340.07516134,384399999.99281204,-0.0011595838205213371,-0.0024355052011940798
167634849.7087441,343019060.1557539,384399999.9925779,-0.0011442344500466606,-0.00244275411519021
164833699.53701103,348910327.3058791,384399999.99238724,-0.0011288397645304593,-0.0024499062886188666
164412280.8423491,348969346.0036831,384399999.99224424,-0.0011134003802982517,-0.002456961453748921
160757754.55172586,352867170.1919755,384399999.99217474,-0.001097916913232827,-0.0024639193420295524
157751058.21042126,351826213.6976975,384399999.99207884,-0.0010823899707353424,-0.002470779664483988
156027797.64900288,353470418.73419344,384399999.99182963,-0.0010668201566584878,-0.0024775421222087562
151984117.01245826,359952733.32878304,384399999.99159914,-0.0010512080878070929,-0.0024842064474967507
148735583.4784945,355007318.5158204,384399999.9914137,-0.0010355543896438668,-0.00249077239469285
150261628.001073,353365639.79675883,384399999.99128133,-0.0010198596878278066,-0.002497239718677338
144667743.62129372,353963548.6685875,384399999.99122995,-0.0010041246067750975,-0.0025036081714341074
144058326.28990838,358347808.3461722,384399999.9910863,-0.0009883497618193848,-0.0025098774801037838
140299457.7338874,363088257.9682496,384399999.9908327,-0.0009725357688087632,-0.002516047371810451
141914220.15375987,361380534.31225604,384399999.99061155,-0.0009566832569177508,-0.002522117609959365
135849933.8169084,359816479.8562172,384399999.9904359,-0.0009407928603021309,-0.002528087972333448
132811988.58164415,363326832.44293386,384399999.9903188,-0.0009248652131342294,-0.002533958236781292
131272163.07730609,360631653.7900064,384399999.9902814,-0.0009089009471325848,-0.002539728174379932
130856325.65687573,362858585.5071196,384399999.9900929,-0.0008929006859196287,-0.0025453975307056925
126946185.44209687,366679824.20530057,384399999.9898476,-0.0008768650570376568,-0.0025509660618937557
124285276.3703793,365968018.61491185,384399999.98964196,-0.000860794699931805,-0.002556433561092128
122525707.91989438,363143673.87487465,384399999.9894816,-0.0008446902563956638,-0.0025617998292121608
122225911.01161593,365097312.075438,384399999.98938584,-0.0008285523681969553,-0.0025670646671782232
119744817.9400442,366749208.7311294,384399999.98934025,-0.0008123816730965516,-0.0025722278627713785
